"","X.2","X.1","X","checking","researcher","study2013","study2017","study2020","study2022","outcome","reference","doi","pub_year","start_date","end_date","location1","location2","coordinate1","coordinate2","dd_lat","dd_long","region1","region2","climate1","climate2","map1","map2","gai","gradient1","gradient2","n_type","n_sp_paper","n_sp","n_sp_LCVP","n_family_paper","n_family","n_family_LCVP","n_lifeform1","n_lifeform2","n_lifeform3","n_origin1","n_origin2","n_origin3","n_lifestage","t_sp_paper","t_sp","t_sp_LCVP","t_family_paper","t_family","t_family_LCVP","t_lifeform1","t_lifeform2","t_lifeform3","t_origin1","t_origin2","t_origin3","t_lifestage1","t_lifestage2","t_lifestage3","lifeform1_similarity","lifeform2_similarity","lifestage_n_t","interaction_type","performance1","performance2","study_type","duration","net_interaction","last_year","obs","suitable_meta","suitable_meta_reason","suitable_for_master_project","suitable_master_reason","target_sp_plot","data_location","differences_within_outcomes","cID","nID","MEANc","MEANn","SDc","SDn","Nc","Nn","SE_c","SE_n","sucess_c","sucess_n","fail_c","fail_n","data_type","ask_data","status_oct2017","status_email","answer_obs","phylo_dist"
"1",1,1,2,"dri -> Marina","luanne","225_59","84","84",84,"84_10","Shumway_2000","10.1007/s004420050033",2000,"oct/1998","oct/1998","Massachusetts","USA","41°54'N","69°58'W","41,9","-69,967","not informed","temperate","not informed","hemiboreal","not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)","1066","1,041","above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)","2","isolated_obs","Myrica pensylvanica","myrica pensylvanica","Morella carolinensis (Mill.) Small ","Myricaceae","myricaceae","Myricaceae","shrub","shrub","woody","not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map)","native_coastal","native","not informed (probably adult)","Solidago sempervirens","solidago sempervirens","Solidago sempervirens L. ","Asteraceae","asteraceae","Asteraceae","forb","forb","herb","not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249870-1#distribution-map)","native_state","native","adult","adult","not_seedling",0,0,"impossible","inter","density (adult stems per 0,25 m²)","abundance","observational","30","neutral","1998","The control is an open area dominated by Ammophila","yes","yes","yes",NA,"single sps","table 1","performance estimator is density for adults of solidago sempervirens","84_02","84_02",2.35,2,1.12,1.7,20,20,0.25,0.38,NA,NA,NA,NA,"hedges_d","yes about life stage","ok","no answer","na",247.468472
"2",2,2,3,"dri -> Marina","luanne","225_59","84","84",84,"84_11","Shumway_2000","10.1007/s004420050033",2001,"oct/1998","oct/1998","Massachusetts","USA","41°54'N","69°58'W","41,9","-69,967","not informed","temperate","not informed","hemiboreal","not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)","1066","1,041","above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)","2","isolated_obs","Myrica pensylvanica","myrica pensylvanica","Morella carolinensis (Mill.) Small ","Myricaceae","myricaceae","Myricaceae","shrub","shrub","woody","not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map)","native_coastal","native","not informed (probably adult)","Solidago sempervirens","solidago sempervirens","Solidago sempervirens L. ","Asteraceae","asteraceae","Asteraceae","forb","forb","herb","not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249870-1#distribution-map)","native_state","native","adult","adult","not_seedling",0,0,"impossible","inter","density (flowering stems density per 0,25 m²)","reproduction","observational","30","positive","1998","The control is an open area dominated by Ammophila","yes","yes","yes",NA,"single sps","table 1","performance estimator is density of flowering stems for adults of solidago sempervirens","84_03","84_03",0.25,1.25,0.54,1.25,20,20,0.12,0.28,NA,NA,NA,NA,"hedges_d","yes about life stage","ok","no answer","na",247.468472
"3",3,3,4,"dri -> Marina","luanne","225_59","84","84",84,"84_12","Shumway_2000","10.1007/s004420050033",2001,"may/1993","may/1993","Massachusetts","USA","41°54'N","69°58'W","41,9","-69,967","not informed","temperate","not informed","hemiboreal","not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)","1066","1,041","above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)","2","isolated_obs","Myrica pensylvanica","myrica pensylvanica","Morella carolinensis (Mill.) Small ","Myricaceae","myricaceae","Myricaceae","shrub","shrub","woody","not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map)","native_coastal","native","not informed (probably adult)","Solidago sempervirens","solidago sempervirens","Solidago sempervirens L. ","Asteraceae","asteraceae","Asteraceae","forb","forb","herb","not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249870-1#distribution-map)","native_state","native","seedling","seedling","seedling",0,0,"impossible","inter","density (seedlings per 0,25 m²)","abundance","observational","30","positive","1993","The control is an open area dominated by Ammophila","yes","yes","yes",NA,"single sps","table 1","performance estimator is density for seedlings of solidago sempervirens","84_04","84_04",0.16,22.1,0.45,31.75,25,25,0.09,6.35,NA,NA,NA,NA,"hedges_d","yes about life stage","ok","no answer","na",247.468472
"4",4,4,5,"dri -> Marina","luanne","225_59","84","84",84,"84_15","Shumway_2000","10.1007/s004420050033",2000,"oct/1998","oct/1998","Massachusetts","USA","41°54'N","69°58'W","41,9","-69,967","not informed","temperate","not informed","hemiboreal","not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)","1066","1,041","above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)","2","isolated_obs","Myrica pensylvanica","myrica pensylvanica","Morella carolinensis (Mill.) Small ","Myricaceae","myricaceae","Myricaceae","shrub","shrub","woody","not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map)","native_coastal","native","not informed (probably adult)","Solidago sempervirens","solidago sempervirens","Solidago sempervirens L. ","Asteraceae","asteraceae","Asteraceae","forb","forb","herb","not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249870-1#distribution-map)","native_state","native","adult","adult","not_seedling",0,0,"impossible","inter","number of flower","reproduction","observational","30","positive","1998","The control is an open area dominated by Ammophila","yes","yes","yes",NA,"single sps","table 2","performance estimator is number of flowers for adults of solidago sempervirens","84_05","84_05",2340.5,7250.32,1167.8,4486.17,10,10,369.29,1418.65,NA,NA,NA,NA,"hedges_d","yes about life stage","ok","no answer","na",247.468472
"5",5,5,6,"dri -> Marina","luanne","225_59","84","84",84,"84_16","Shumway_2000","10.1007/s004420050033",2000,"1998","1998","Massachusetts","USA","41°54'N","69°58'W","41,9","-69,967","not informed","temperate","not informed","hemiboreal","not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)","1066","1,041","above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)","2","isolated_obs","Myrica pensylvanica","myrica pensylvanica","Morella carolinensis (Mill.) Small ","Myricaceae","myricaceae","Myricaceae","shrub","shrub","woody","not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map)","native_coastal","native","not informed (probably adult)","Solidago sempervirens","solidago sempervirens","Solidago sempervirens L. ","Asteraceae","asteraceae","Asteraceae","forb","forb","herb","not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249870-1#distribution-map)","native_state","native","adult","adult","not_seedling",0,0,"impossible","inter","dry biomass (g)","growth_size","observational","30","positive","1998","The control is an open area dominated by Ammophila","yes","yes","yes",NA,"single sps","table 2","performance estimator is growth_size for adults of solidago sempervirens","84_06","84_06",5.65,22.07,1.9,12.97,10,10,0.6,4.1,NA,NA,NA,NA,"hedges_d","yes about life stage","ok","no answer","na",247.468472
"6",6,6,7,"dri -> Marina","luanne","225_59","84","84",84,"84_17","Shumway_2000","10.1007/s004420050033",2000,"may/1993","aug/1993","Massachusetts","USA","41°54'N","69°58'W","41,9","-69,467","not informed","temperate","not informed","hemiboreal","not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)","1066","1,041","above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)","2","isolated_obs","Myrica pensylvanica","myrica pensylvanica","Morella carolinensis (Mill.) Small ","Myricaceae","myricaceae","Myricaceae","shrub","shrub","woody","not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map)","native_coastal","native","not informed (probably adult)","Solidago sempervirens","solidago sempervirens","Solidago sempervirens L. ","Asteraceae","asteraceae","Asteraceae","forb","forb","herb","not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249870-1#distribution-map)","native_state","native","seedling","seedling","seedling",0,0,"impossible","inter","survival","survival","observational","3 months","neutral","1993","Sample size of control (Nc) and sample size of neighbor treatment (Nn) are APPROXIMATELY =100. The control is an open area dominated by Ammophila.","yes","yes","yes",NA,"single sps","page 142 (Seedling Survival)","performance estimator is survival for seedlings of solidago sempervirens","84_07","84_07",NA,NA,NA,NA,100,100,NA,NA,21,22,79,78,"odds","yes about life stage","ok","no answer","na",247.468472
"7",7,7,8,"dri -> Marina","luanne","225_59","84","84",84,"84_01","Shumway_2000","10.1007/s004420050033",2000,"oct/1998","oct/1998","Massachusetts","USA","41°54'N","69°58'W","41,9","-69,967","not informed","temperate","not informed","hemiboreal","not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)","1066","1,041","above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)","2","isolated_obs","Myrica pensylvanica","myrica pensylvanica","Morella carolinensis (Mill.) Small ","Myricaceae","myricaceae","Myricaceae","shrub","shrub","woody","not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map)","native_coastal","native","not informed (probably adult)","Ammophila breviligulata","ammophila breviligulata","Calamagrostis breviligulata (Fernald) Saarela ","Poaceae","poaceae","Poaceae","grass","grass","herb","not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165977-1#distribution-map)","native_state","native","adult","adult","not_seedling",0,0,"impossible","inter","density (adult stems per 0,25 m²)","abundance","observational","30","positive","1998","The control is an open area dominated by Ammophila","yes","yes","yes",NA,"single sps","table 1","performance estimator is density for adults of ammophila breviligulata","84_01","84_01",12.85,15.8,4.92,3.94,20,20,1.1,0.88,NA,NA,NA,NA,"hedges_d","yes about life stage","ok","no answer","na",271.516128
"8",8,8,9,"dri -> Marina","luanne","225_59","84","84",84,"84_02","Shumway_2000","10.1007/s004420050033",2000,"jun/1992","sep/1992","Massachusetts","USA","41°54'N","69°58'W","41,9","-69,967","not informed","temperate","not informed","hemiboreal","not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)","1066","1,041","above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)","2","isolated_obs","Myrica pensylvanica","myrica pensylvanica","Morella carolinensis (Mill.) Small ","Myricaceae","myricaceae","Myricaceae","shrub","shrub","woody","not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map)","native_coastal","native","not informed (probably adult)","Solidago sempervirens","solidago sempervirens","Solidago sempervirens L. ","Asteraceae","asteraceae","Asteraceae","grass","grass","herb","not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249870-1#distribution-map)","native_state","native","adult","adult","adult",0,0,"impossible","inter","total biomass (g)","growth","experimental","120","positive","1992","The control is an open area dominated by Ammophila","yes","yes","yes",NA,"single sps","page 143","performance estimator is growth for seedlings of solidago sempervirens","84_08","84_08",2.5,3.6,0.57,0.85,8,8,0.2,0.3,NA,NA,NA,NA,"hedges_d","yes about life stage","ok","no answer","na",247.468472
"9",9,9,10,"dri -> Marina","luanne","225_59","84","84",84,"84_03","Shumway_2000","10.1007/s004420050033",2000,"may/1993","may/1993","Massachusetts","USA","41°54'N","69°58'W","41,9","-69,967","not informed","temperate","not informed","hemiboreal","not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)","1066","1,041","above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)","2","isolated_obs","Myrica pensylvanica","myrica pensylvanica","Morella carolinensis (Mill.) Small ","Myricaceae","myricaceae","Myricaceae","shrub","shrub","woody","not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map)","native_coastal","native","not informed (probably adult)","Ammophila breviligulata","ammophila breviligulata","Calamagrostis breviligulata (Fernald) Saarela ","Poaceae","poaceae","Poaceae","grass","grass","herb","not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165977-1#distribution-map)","native_state","native","seedling","seedling","seedling",0,0,"impossible","inter","density (seedlings per 0,25 m²)","abundance","observational","30","neutral","1993","The control is an open area dominated by Ammophila","yes","yes","yes",NA,"single sps","table 1","performance estimator is density for seedlings of ammophila breviligulata","84_10","84_10",12.68,9.24,29.1,28.05,25,25,5.82,5.61,NA,NA,NA,NA,"hedges_d","yes about life stage","ok","no answer","na",271.516128
"10",10,10,11,"dri -> Marina","luanne","225_59","84","84",84,"84_06","Shumway_2000","10.1007/s004420050033",2000,"oct/1998","oct/1998","Massachusetts","USA","41°54'N","69°58'W","41,9","-69,967","not informed","temperate","not informed","hemiboreal","not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)","1066","1,041","above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)","2","isolated_obs","Myrica pensylvanica","myrica pensylvanica","Morella carolinensis (Mill.) Small ","Myricaceae","myricaceae","Myricaceae","shrub","shrub","woody","not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map)","native_coastal","native","not informed (probably adult)","Ammophila breviligulata","ammophila breviligulata","Calamagrostis breviligulata (Fernald) Saarela ","Poaceae","poaceae","Poaceae","grass","grass","herb","not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165977-1#distribution-map)","native_state","native","adult","adult","not_seedling",0,0,"impossible","inter","number of flower","reproduction","observational","30","positive","1998","The control is an open area dominated by Ammophila","yes","yes","yes",NA,"single sps","table 2","performance estimator is number of flowers for adults of ammophila breviligulata","84_11","84_11",209.2,431.7,82.22,66.41,10,10,26,21,NA,NA,NA,NA,"hedges_d","yes about life stage","ok","no answer","na",271.516128
