checking,researcher,study2013,study2017,study2020,study2022,outcome,reference,doi,pub_year,start_date,end_date,location1,location2,coordinate1,coordinate2,dd_lat,dd_long,region1,region2,climate1,climate2,map1,map2,gai,gradient1,gradient2,n_type,n_sp_paper,n_sp,n_sp_LCVP,n_family_paper,n_family,n_family_LCVP,n_lifeform1,n_lifeform2,n_lifeform3,n_origin1,n_origin2,n_origin3,n_lifestage,t_sp_paper,t_sp,t_sp_LCVP,t_family_paper,t_family,t_family_LCVP,t_lifeform1,t_lifeform2,t_lifeform3,t_origin1,t_origin2,t_origin3,t_lifestage1,t_lifestage2,t_lifestage3,lifeform1_similarity,lifeform2_similarity,lifestage_n_t,interaction_type,performance1,performance2,study_type,duration,net_interaction,last_year,obs,suitable_meta,suitable_meta_reason,suitable_for_master_project,suitable_master_reason,target_sp_plot,data_location,differences_within_outcomes,cID,nID,MEANc,MEANn,SDc,SDn,Nc,Nn,SE_c,SE_n,sucess_c,sucess_n,fail_c,fail_n,data_type,ask_data,status_oct2017,status_email,answer_obs
dri -> Marina,luanne,278_na,32,32,32,32_03,Lee_1995,10.2307/3236397,1995,apr/1987,nov/1989,New Jersey (Island Beach State Park),USA,39°45'N to 39°55'N,74°06'W,"39,835","-74,088",not informed,temperate,not informed,humid_continental,not informed (but see http://www.worldclimate.com/climate/us/new-jersey/toms-river because Toms River is the closest city I could find in World Climate),"1239,01","0,936",primary dune ridge,1,isolated_obs,Ammophila breviligulata,ammophila breviligulata,,not informed,completar,,perennial grass,grass,herb,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:11361-2#distribution-map),native_state,native,several (less seed),Solidago sempervirens,solidago sempervirens,,not informed,completar,,perennial,forb,herb,not informed (but see https://plants.usda.gov/plantguide/pdf/pg_sose.pdf),native_state,native,adult,adult,not_seedling,0,1,several,inter,reproductive biomass (mg),reproduction,experimental,730,negative,1989,It is not clear if the authors collected these data from Ammophila too. I am using data from 1989 (last year of study),yes,yes,yes,,single sps,figure 5,na,32_01,32_01,80.20,40.50,66.00,39.50,25.00,25.00,13.20,7.90,NA,NA,NA,NA,hedges_d,asked in 2017,ok,sent in 2017,e-mail address not valid
dri -> Marina,luanne,225_59,84,84,84,84_01,Shumway_2000,10.1007/s004420050033,2000,oct/1998,oct/1998,Massachusetts,USA,41°54'N,69°58'W,"41,9","-69,967",not informed,temperate,not informed,hemiboreal,"not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)",1066,"1,041",above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013),2,isolated_obs,Myrica pensylvanica,myrica pensylvanica,,Myricaceae,myricaceae,,shrub,shrub,woody,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map),native_coastal,native,not informed (probably adult),Ammophila breviligulata,ammophila breviligulata,,Poaceae,poaceae,,grass,graminoid,herb,not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165977-1#distribution-map),native_state,native,adult,adult,not_seedling,0,0,impossible,inter,"density (adult stems per 0,25 m²)",abundance,observational,30,positive,1998,The control is an open area dominated by Ammophila,yes,yes,yes,,single sps,table 1,performance estimator is density for adults of ammophila breviligulata,84_01,84_01,12.85,15.80,4.92,3.94,20.00,20.00,1.10,0.88,NA,NA,NA,NA,hedges_d,yes about life stage,ok,no answer,na
dri -> Marina,luanne,225_59,84,84,84,84_02,Shumway_2000,10.1007/s004420050033,2000,jun/1992,sep/1992,Massachusetts,USA,41°54'N,69°58'W,"41,9","-69,967",not informed,temperate,not informed,hemiboreal,"not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)",1066,"1,041",above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013),2,isolated_obs,Myrica pensylvanica,myrica pensylvanica,,Myricaceae,myricaceae,,shrub,shrub,woody,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map),native_coastal,native,not informed (probably adult),Solidago sempervirens,solidago sempervirens,,Asteraceae,asteraceae,,grass,graminoid,herb,not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249870-1#distribution-map),native_state,native,adult,adult,adult,0,0,impossible,inter,total biomass (g),growth,experimental,120,positive,1992,The control is an open area dominated by Ammophila,yes,yes,yes,,single sps,page 143,performance estimator is growth for seedlings of solidago sempervirens,84_08,84_08,2.50,3.60,0.57,0.85,8.00,8.00,0.20,0.30,NA,NA,NA,NA,hedges_d,yes about life stage,ok,no answer,na
dri -> Marina,luanne,225_59,84,84,84,84_03,Shumway_2000,10.1007/s004420050033,2000,may/1993,may/1993,Massachusetts,USA,41°54'N,69°58'W,"41,9","-69,967",not informed,temperate,not informed,hemiboreal,"not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)",1066,"1,041",above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013),2,isolated_obs,Myrica pensylvanica,myrica pensylvanica,,Myricaceae,myricaceae,,shrub,shrub,woody,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map),native_coastal,native,not informed (probably adult),Ammophila breviligulata,ammophila breviligulata,,Poaceae,poaceae,,grass,graminoid,herb,not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165977-1#distribution-map),native_state,native,seedling,seedling,seedling,0,0,impossible,inter,"density (seedlings per 0,25 m²)",abundance,observational,30,neutral,1993,The control is an open area dominated by Ammophila,yes,yes,yes,,single sps,table 1,performance estimator is density for seedlings of ammophila breviligulata,84_10,84_10,12.68,9.24,29.10,28.05,25.00,25.00,5.82,5.61,NA,NA,NA,NA,hedges_d,yes about life stage,ok,no answer,na
dri -> Marina,luanne,225_59,84,84,84,84_06,Shumway_2000,10.1007/s004420050033,2000,oct/1998,oct/1998,Massachusetts,USA,41°54'N,69°58'W,"41,9","-69,967",not informed,temperate,not informed,hemiboreal,"not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)",1066,"1,041",above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013),2,isolated_obs,Myrica pensylvanica,myrica pensylvanica,,Myricaceae,myricaceae,,shrub,shrub,woody,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map),native_coastal,native,not informed (probably adult),Ammophila breviligulata,ammophila breviligulata,,Poaceae,poaceae,,grass,graminoid,herb,not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165977-1#distribution-map),native_state,native,adult,adult,not_seedling,0,0,impossible,inter,number of flower,reproduction,observational,30,positive,1998,The control is an open area dominated by Ammophila,yes,yes,yes,,single sps,table 2,performance estimator is number of flowers for adults of ammophila breviligulata,84_11,84_11,209.20,431.70,82.22,66.41,10.00,10.00,26.00,21.00,NA,NA,NA,NA,hedges_d,yes about life stage,ok,no answer,na
dri -> Marina,luanne,225_59,84,84,84,84_07,Shumway_2000,10.1007/s004420050033,2000,1998,1998,Massachusetts,USA,41°54'N,69°58'W,"41,9","-69,967",not informed,temperate,not informed,hemiboreal,"not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)",1066,"1,041",above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013),2,isolated_obs,Myrica pensylvanica,myrica pensylvanica,,Myricaceae,myricaceae,,shrub,shrub,woody,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map),native_coastal,native,not informed (probably adult),Ammophila breviligulata,ammophila breviligulata,,Poaceae,poaceae,,grass,graminoid,herb,not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165977-1#distribution-map),native_state,native,adult,adult,not_seedling,0,0,impossible,inter,dry biomass (g),growth_size,observational,120,positive,1992,The control is an open area dominated by Ammophila,yes,yes,yes,,single sps,table 2,performance estimator is growth for adults of ammophila breviligulata,84_12,84_12,2.00,4.34,0.82,1.83,10.00,10.00,0.26,0.58,NA,NA,NA,NA,hedges_d,yes about life stage,ok,no answer,na
dri -> Marina,luanne,225_59,84,84,84,84_09,Shumway_2000,10.1007/s004420050033,2000,may/1993,aug/1993,Massachusetts,USA,41°54'N,69°58'W,"41,9","-69,967",not informed,temperate,not informed,hemiboreal,"not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)",1066,"1,041",above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013),2,isolated_obs,Myrica pensylvanica,myrica pensylvanica,,Myricaceae,myricaceae,,shrub,shrub,woody,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map),native_coastal,native,not informed (probably adult),Ammophila breviligulata,ammophila breviligulata,,Poaceae,poaceae,,grass,graminoid,herb,not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165977-1#distribution-map),native_state,native,seedling,seedling,seedling,0,0,impossible,inter,survival,survival,observational,3 months,neutral,1993,Sample size of control (Nc) and sample size of neighbor treatment (Nn) are APPROXIMATELY =100. The control is an open area dominated by Ammophila.,yes,yes,yes,,single sps,page 142 (Seedling Survival),performance estimator is survival for seedlings of ammophila breviligulata,84_13,84_13,NA,NA,NA,NA,100.00,100.00,NA,NA,12.00,8.00,88.00,92.00,odds,yes about life stage,ok,no answer,na
dri -> Marina,luanne,225_59,84,84,84,84_10,Shumway_2000,10.1007/s004420050033,2000,oct/1998,oct/1998,Massachusetts,USA,41°54'N,69°58'W,"41,9","-69,967",not informed,temperate,not informed,hemiboreal,"not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)",1066,"1,041",above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013),2,isolated_obs,Myrica pensylvanica,myrica pensylvanica,,Myricaceae,myricaceae,,shrub,shrub,woody,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map),native_coastal,native,not informed (probably adult),Solidago sempervirens,solidago sempervirens,,Asteraceae,asteraceae,,forb,forb,herb,not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249870-1#distribution-map),native_state,native,adult,adult,not_seedling,0,0,impossible,inter,"density (adult stems per 0,25 m²)",abundance,observational,30,neutral,1998,The control is an open area dominated by Ammophila,yes,yes,yes,,single sps,table 1,performance estimator is density for adults of solidago sempervirens,84_02,84_02,2.35,2.00,1.12,1.70,20.00,20.00,0.25,0.38,NA,NA,NA,NA,hedges_d,yes about life stage,ok,no answer,na
dri -> Marina,luanne,225_59,84,84,84,84_11,Shumway_2000,10.1007/s004420050033,2001,oct/1998,oct/1998,Massachusetts,USA,41°54'N,69°58'W,"41,9","-69,967",not informed,temperate,not informed,hemiboreal,"not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)",1066,"1,041",above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013),2,isolated_obs,Myrica pensylvanica,myrica pensylvanica,,Myricaceae,myricaceae,,shrub,shrub,woody,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map),native_coastal,native,not informed (probably adult),Solidago sempervirens,solidago sempervirens,,Asteraceae,asteraceae,,forb,forb,herb,not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249870-1#distribution-map),native_state,native,adult,adult,not_seedling,0,0,impossible,inter,"density (flowering stems density per 0,25 m²)",reproduction,observational,30,positive,1998,The control is an open area dominated by Ammophila,yes,yes,yes,,single sps,table 1,performance estimator is density of flowering stems for adults of solidago sempervirens,84_03,84_03,0.25,1.25,0.54,1.25,20.00,20.00,0.12,0.28,NA,NA,NA,NA,hedges_d,yes about life stage,ok,no answer,na
dri -> Marina,luanne,225_59,84,84,84,84_12,Shumway_2000,10.1007/s004420050033,2001,may/1993,may/1993,Massachusetts,USA,41°54'N,69°58'W,"41,9","-69,967",not informed,temperate,not informed,hemiboreal,"not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)",1066,"1,041",above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013),2,isolated_obs,Myrica pensylvanica,myrica pensylvanica,,Myricaceae,myricaceae,,shrub,shrub,woody,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map),native_coastal,native,not informed (probably adult),Solidago sempervirens,solidago sempervirens,,Asteraceae,asteraceae,,forb,forb,herb,not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249870-1#distribution-map),native_state,native,seedling,seedling,seedling,0,0,impossible,inter,"density (seedlings per 0,25 m²)",abundance,observational,30,positive,1993,The control is an open area dominated by Ammophila,yes,yes,yes,,single sps,table 1,performance estimator is density for seedlings of solidago sempervirens,84_04,84_04,0.16,22.10,0.45,31.75,25.00,25.00,0.09,6.35,NA,NA,NA,NA,hedges_d,yes about life stage,ok,no answer,na
