"study2022"	"outcome"	"reference"	"pub_year"	"location1"	"location2"	"coordinate1"	"coordinate2"	"dd_lat"	"dd_long"	"gradient1"	"gradient2"	"gai"	"n_sp_paper"	"n_sp_LCVP"	"n_family_LCVP"	"n_lifeform1"	"n_lifeform2"	"n_lifeform3"	"n_lifestage"	"t_sp_paper"	"t_sp_LCVP"	"t_family_LCVP"	"t_lifeform1"	"t_lifeform2"	"t_lifeform3"	"t_lifestage3"	"t_lifestage1"	"t_lifestage3.1"	"lifeform1_similarity"	"lifeform2_similarity"	"lifestage_n_t"	"performance1"	"performance2"	"interaction_type"	"study_type"	"MEANc"	"MEANn"	"SDc"	"SDn"	"Nc"	"Nn"	"SE_c"	"SE_n"	"sucess_c"	"sucess_n"	"fail_c"	"fail_n"	"data_type"	"phylo_dist"	"zoneclima"	"effectsize"	"es_variance"	"lifeform_n_t"	"e_n"
"84"	"84_10"	"Shumway_2000"	2000	"Massachusetts"	"USA"	"41°54'N"	"69°58'W"	41.9	"-69.967"	"above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)"	"2"	1.041	"Myrica pensylvanica"	"Morella carolinensis (Mill.) Small "	"Myricaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Solidago sempervirens"	"Solidago sempervirens L. "	"Asteraceae"	"forb"	"forb"	"herb"	"not_seedling"	"adult"	"not_seedling"	"0"	"0"	"impossible"	"density (adult stems per 0,25 m²)"	"abundance"	"inter"	"observational"	2.35	2	1.12	1.7	20	20	0.25	0.38	NA	NA	NA	NA	"hedges_d"	247.468472	"Temperate"	-0.23830173710229	0.100783166424959	"w.h"	40
"84"	"84_11"	"Shumway_2000"	2001	"Massachusetts"	"USA"	"41°54'N"	"69°58'W"	41.9	"-69.967"	"above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)"	"2"	1.041	"Myrica pensylvanica"	"Morella carolinensis (Mill.) Small "	"Myricaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Solidago sempervirens"	"Solidago sempervirens L. "	"Asteraceae"	"forb"	"forb"	"herb"	"not_seedling"	"adult"	"not_seedling"	"0"	"0"	"impossible"	"density (flowering stems density per 0,25 m²)"	"reproduction"	"inter"	"observational"	0.25	1.25	0.54	1.25	20	20	0.12	0.28	NA	NA	NA	NA	"hedges_d"	247.468472	"Temperate"	1.01794290418398	0.114290469028274	"w.h"	40
"84"	"84_12"	"Shumway_2000"	2001	"Massachusetts"	"USA"	"41°54'N"	"69°58'W"	41.9	"-69.967"	"above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)"	"2"	1.041	"Myrica pensylvanica"	"Morella carolinensis (Mill.) Small "	"Myricaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Solidago sempervirens"	"Solidago sempervirens L. "	"Asteraceae"	"forb"	"forb"	"herb"	"seedling"	"seedling"	"seedling"	"0"	"0"	"impossible"	"density (seedlings per 0,25 m²)"	"abundance"	"inter"	"observational"	0.16	22.1	0.45	31.75	25	25	0.09	6.35	NA	NA	NA	NA	"hedges_d"	247.468472	"Temperate"	0.961795371237247	0.0899996632778778	"w.h"	50
"84"	"84_15"	"Shumway_2000"	2000	"Massachusetts"	"USA"	"41°54'N"	"69°58'W"	41.9	"-69.967"	"above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)"	"2"	1.041	"Myrica pensylvanica"	"Morella carolinensis (Mill.) Small "	"Myricaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Solidago sempervirens"	"Solidago sempervirens L. "	"Asteraceae"	"forb"	"forb"	"herb"	"not_seedling"	"adult"	"not_seedling"	"0"	"0"	"impossible"	"number of flower"	"reproduction"	"inter"	"observational"	2340.5	7250.32	1167.8	4486.17	10	10	369.29	1418.65	NA	NA	NA	NA	"hedges_d"	247.468472	"Temperate"	1.43440842350184	0.26326308190867	"w.h"	20
"84"	"84_16"	"Shumway_2000"	2000	"Massachusetts"	"USA"	"41°54'N"	"69°58'W"	41.9	"-69.967"	"above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)"	"2"	1.041	"Myrica pensylvanica"	"Morella carolinensis (Mill.) Small "	"Myricaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Solidago sempervirens"	"Solidago sempervirens L. "	"Asteraceae"	"forb"	"forb"	"herb"	"not_seedling"	"adult"	"not_seedling"	"0"	"0"	"impossible"	"dry biomass (g)"	"growth_size"	"inter"	"observational"	5.65	22.07	1.9	12.97	10	10	0.6	4.1	NA	NA	NA	NA	"hedges_d"	247.468472	"Temperate"	1.69645643274004	0.288489168237962	"w.h"	20
"84"	"84_17"	"Shumway_2000"	2000	"Massachusetts"	"USA"	"41°54'N"	"69°58'W"	41.9	"-69.467"	"above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)"	"2"	1.041	"Myrica pensylvanica"	"Morella carolinensis (Mill.) Small "	"Myricaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Solidago sempervirens"	"Solidago sempervirens L. "	"Asteraceae"	"forb"	"forb"	"herb"	"seedling"	"seedling"	"seedling"	"0"	"0"	"impossible"	"survival"	"survival"	"inter"	"observational"	NA	NA	NA	NA	100	100	NA	NA	21	22	79	78	"odds"	247.468472	"Temperate"	0.0359145705529229	0.0435453934773947	"w.h"	200
"84"	"84_01"	"Shumway_2000"	2000	"Massachusetts"	"USA"	"41°54'N"	"69°58'W"	41.9	"-69.967"	"above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)"	"2"	1.041	"Myrica pensylvanica"	"Morella carolinensis (Mill.) Small "	"Myricaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Ammophila breviligulata"	"Calamagrostis breviligulata (Fernald) Saarela "	"Poaceae"	"grass"	"grass"	"herb"	"not_seedling"	"adult"	"not_seedling"	"0"	"0"	"impossible"	"density (adult stems per 0,25 m²)"	"abundance"	"inter"	"observational"	12.85	15.8	4.92	3.94	20	20	1.1	0.88	NA	NA	NA	NA	"hedges_d"	271.516128	"Temperate"	0.648713192132753	0.105803701986833	"w.h"	40
"84"	"84_02"	"Shumway_2000"	2000	"Massachusetts"	"USA"	"41°54'N"	"69°58'W"	41.9	"-69.967"	"above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)"	"2"	1.041	"Myrica pensylvanica"	"Morella carolinensis (Mill.) Small "	"Myricaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Solidago sempervirens"	"Solidago sempervirens L. "	"Asteraceae"	"grass"	"grass"	"herb"	"adult"	"adult"	"adult"	"0"	"0"	"impossible"	"total biomass (g)"	"growth"	"inter"	"experimental"	2.5	3.6	0.57	0.85	8	8	0.2	0.3	NA	NA	NA	NA	"hedges_d"	247.468472	"Temperate"	1.43686318856629	0.334161736075146	"w.h"	16
"84"	"84_03"	"Shumway_2000"	2000	"Massachusetts"	"USA"	"41°54'N"	"69°58'W"	41.9	"-69.967"	"above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)"	"2"	1.041	"Myrica pensylvanica"	"Morella carolinensis (Mill.) Small "	"Myricaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Ammophila breviligulata"	"Calamagrostis breviligulata (Fernald) Saarela "	"Poaceae"	"grass"	"grass"	"herb"	"seedling"	"seedling"	"seedling"	"0"	"0"	"impossible"	"density (seedlings per 0,25 m²)"	"abundance"	"inter"	"observational"	12.68	9.24	29.1	28.05	25	25	5.82	5.61	NA	NA	NA	NA	"hedges_d"	271.516128	"Temperate"	-0.118472437504508	0.0801517241309617	"w.h"	50
"84"	"84_06"	"Shumway_2000"	2000	"Massachusetts"	"USA"	"41°54'N"	"69°58'W"	41.9	"-69.967"	"above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)"	"2"	1.041	"Myrica pensylvanica"	"Morella carolinensis (Mill.) Small "	"Myricaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Ammophila breviligulata"	"Calamagrostis breviligulata (Fernald) Saarela "	"Poaceae"	"grass"	"grass"	"herb"	"not_seedling"	"adult"	"not_seedling"	"0"	"0"	"impossible"	"number of flower"	"reproduction"	"inter"	"observational"	209.2	431.7	82.22	66.41	10	10	26	21	NA	NA	NA	NA	"hedges_d"	271.516128	"Temperate"	2.85112017035613	0.449939983197332	"w.h"	20
